Abildgårdsvej 23,4440 Mørkøv,1.300.000,12-01-2022,136 ,9.559,1972
Søborg Hovedgade 55 2. th,2860 Søborg,4.150.000,12-01-2022,127 ,32.677,1917
Roskildevænget 29 st. th,4000 Roskilde,2.395.000,12-01-2022,76 ,31.513,1960
Bredevej 75,2830 Virum,6.150.000,12-01-2022,108 ,56.944,1944
Bagsværd Hovedgade 79 2. f,2880 Bagsværd,3.145.000,12-01-2022,95 ,33.105,1960
Plantagen Haslevgårde 3,9560 Hadsund,900.000,12-01-2022,96 ,9.375,1969
Flarumvej 8,9940 Læsø,820.000,12-01-2022,109 ,7.523,1972
Albertslundvej 113 st. tv,2625 Vallensbæk,1.950.000,12-01-2022,104 ,18.750,1964
Tulipanmarken 1A,2680 Solrød Strand,5.200.000,12-01-2022,149 ,34.899,1977
Kobberbæksvej 29 st. th,5700 Svendborg,575.000,11-01-2022,78 ,7.372,1940
Skolebakken 1,3200 Helsinge,2.725.000,11-01-2022,166 ,16.416,1973
Stibankevejen 28,4920 Søllested,15.000,11-01-2022,93 ,161,1954
Krakasvej 34,3630 Jægerspris,1.025.000,11-01-2022,66 ,15.530,1971
Kæhlersvej 15,4220 Korsør,577.770,11-01-2022,127 ,4.549,1923
Tingbækvej 7,3460 Birkerød,6.550.000,11-01-2022,367 ,17.847,1972
Østerbro 103 1. tv,9000 Aalborg,10.100.000,11-01-2022,63 ,160.317,1930
Østerbro 103 1. th,9000 Aalborg,10.100.000,11-01-2022,91 ,110.989,1930
Østerbro 103 st. th,9000 Aalborg,10.100.000,11-01-2022,53 ,190.566,1930
Østerbro 103 st. tv,9000 Aalborg,10.100.000,11-01-2022,63 ,160.317,1930
Østerbro 103 2. tv,9000 Aalborg,10.100.000,11-01-2022,63 ,160.317,1930
Østerbro 103 2. th,9000 Aalborg,10.100.000,11-01-2022,91 ,110.989,1930
Østerbro 103 3,9000 Aalborg,10.100.000,11-01-2022,124 ,81.452,1930
Biskop Svanes Vej 67A,3460 Birkerød,5.595.000,11-01-2022,129 ,43.372,1892
Agertoften 7,8400 Ebeltoft,1.758.500,11-01-2022,459 ,3.831,1907
Vinstræde 12,9541 Suldrup,50.000,11-01-2022,179 ,279,1917
Hjelmevej 57B,6854 Henne,4.525.000,11-01-2022,151 ,29.967,2015
Teglholm Allé 9D st. th,2450 København SV,4.725.000,11-01-2022,93 ,50.806,2006
Bülowsgade 42B st,8000 Aarhus C,11.000.000,11-01-2022,71 ,154.930,1899
Bækkevej 29,8930 Randers NØ,2.052.500,11-01-2022,176 ,11.662,2005
Bülowsgade 42 1,8000 Aarhus C,11.000.000,11-01-2022,66 ,166.667,1899
Bülowsgade 42 2,8000 Aarhus C,11.000.000,11-01-2022,45 ,244.444,1899
Nørrevang 9,7300 Jelling,1.370.000,11-01-2022,125 ,10.960,1966
Morbærhegnet 4,2670 Greve,2.925.000,11-01-2022,98 ,29.847,1988
Vernersmindevej 3,4330 Hvalsø,3.500.000,11-01-2022,204 ,17.157,1921
Vernersmindevej 3,4330 Hvalsø,3.500.000,11-01-2022,117 ,29.915,1921
Kalundborgvej 104,4300 Holbæk,2.875.000,11-01-2022,124 ,23.185,2010
Studiestræde 12,4300 Holbæk,2.495.000,11-01-2022,81 ,30.802,1852
Vestervang 32 1. th,2500 Valby,1.325.000,11-01-2022,74 ,17.905,1935
Sofievej 32A 3,9000 Aalborg,948.000,11-01-2022,55 ,17.236,1969
Arvevej 5,6854 Henne,2.415.000,11-01-2022,80 ,30.188,1978
Nordgårdsvej 45,4030 Tune,3.100.000,11-01-2022,130 ,23.846,1972
Nordgårdsvej 45,4030 Tune,3.100.000,11-01-2022,33 ,93.939,2010
Møllegade 32,4850 Stubbekøbing,2.050.000,11-01-2022,128 ,16.016,1886
Rosenvej 4,4900 Nakskov,202.000,11-01-2022,122 ,1.656,1930
Gammel Kulhusvej 64,3630 Jægerspris,1.010.000,11-01-2022,86 ,11.744,1972
Kettingevej 126,4892 Kettinge,31.997,11-01-2022,68 ,471,1700
Enghaven 9,6230 Rødekro,1.000.000,11-01-2022,150 ,6.667,1973
Glesborg Bygade 25 1,8585 Glesborg,550.000,11-01-2022,91 ,6.044,1914
Søndermarken 83,5580 Nørre Aaby,1.375.000,11-01-2022,151 ,9.106,2014
Harrildhusvej 5,9240 Nibe,5.258.000,11-01-2022,220 ,23.900,1916
Nørre Boulevard 156,4600 Køge,2.765.000,11-01-2022,98 ,28.214,1988
Toftegårds Allé 45 2. tv,2500 Valby,4.300.000,11-01-2022,95 ,45.263,1932
Agertoften 7A,8400 Ebeltoft,1.758.500,11-01-2022,112 ,15.701,1931
Vindumvej 68,8850 Bjerringbro,330.000,11-01-2022,113 ,2.920,1896
Slotsvænget 28,3480 Fredensborg,7.000.000,11-01-2022,135 ,51.852,1964
Bülowsgade 42 st,8000 Aarhus C,11.000.000,11-01-2022,54 ,203.704,1899
Glesborg Bygade 25 st,8585 Glesborg,550.000,11-01-2022,117 ,4.701,1914
Sønder Allé 21 1,8000 Aarhus C,2.300.000,10-01-2022,65 ,35.385,1868
Møgelgårdsvej 1D,8520 Lystrup,5.000.000,10-01-2022,42 ,119.048,1880
Tusindfrydvej 11,3210 Vejby,1.200.000,10-01-2022,103 ,11.650,2007
Fur Landevej 94,7870 Roslev,371.000,10-01-2022,158 ,2.348,1890
Charlottevej 8,4573 Højby,2.125.000,10-01-2022,44 ,48.295,1963
Morelhaven 93,4600 Køge,2.540.000,10-01-2022,99 ,25.657,2006
Drosselvej 1,5500 Middelfart,1.050.000,10-01-2022,100 ,10.500,1964
Stjærvej 39,8660 Skanderborg,67.200,10-01-2022,92 ,730,1914
Stensbyvej 1,4772 Langebæk,1.275.000,10-01-2022,177 ,7.203,1900
Pilehavevej 4,6440 Augustenborg,115.000,10-01-2022,124 ,927,1974
Hyldegårdsvej 10 1. 2,2920 Charlottenlund,1.140.000,10-01-2022,69 ,16.522,1959
Rølliken 12,7500 Holstebro,1.000.000,10-01-2022,138 ,7.246,2005
Fagerhøjvænge 5,2950 Vedbæk,13.700.000,10-01-2022,60 ,228.333,1978
Fagerhøjvænge 5,2950 Vedbæk,13.700.000,10-01-2022,265 ,51.698,1976
Hjedsbækvej 156,9541 Suldrup,995.000,10-01-2022,102 ,9.755,1986
Birkhøjvej 12,2800 Kongens Lyngby,5.995.000,10-01-2022,72 ,83.264,1932
Lyngtoften 7,4571 Grevinge,575.000,10-01-2022,49 ,11.735,1967
Østervang 37,6900 Skjern,950.000,10-01-2022,78 ,12.179,1956
Møllevej 27,5683 Haarby,778.484,10-01-2022,197 ,3.952,1930
Hærvejen 137,7323 Give,2.665.000,10-01-2022,155 ,17.194,1852
Kogleaksvej 27,4600 Køge,1.600.000,10-01-2022,116 ,13.793,1988
Lysefjordsgade 3 1. tv,2300 København S,2.500.000,10-01-2022,58 ,43.103,1912
Vestbanevej 14 1. tv,2500 Valby,3.600.000,10-01-2022,77 ,46.753,1934
Søborgstræde 10,3700 Rønne,2.250.000,10-01-2022,118 ,19.068,1920
Klokkervænget 6,2690 Karlslunde,3.695.000,10-01-2022,122 ,30.287,1939
Violvej 9,4690 Haslev,2.050.000,10-01-2022,136 ,15.074,1973
Hørupvej 6,7300 Jelling,1.575.000,10-01-2022,112 ,14.063,1928
Mariendalsvej 67 3. th,2000 Frederiksberg,5.200.000,10-01-2022,94 ,55.319,1932
Hasle Marina 23,3790 Hasle,2.200.000,22-01-2022,90 ,24.444,2006
Møllevej 8,4700 Næstved,4.001.000,13-01-2022,169 ,23.675,1907
Pilevej 5,3660 Stenløse,4.350.000,13-01-2022,177 ,24.576,1972
Hasselvej 10,4700 Næstved,1.935.000,13-01-2022,110 ,17.591,1952
Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
